locus_tag	ftype	length_bp	gene	EC_number	COG	product
AKFMKLHP_00038	CDS	1638				hypothetical protein
AKFMKLHP_00039	CDS	591	pseB	4.2.1.115	COG1086	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
AKFMKLHP_00040	CDS	432	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
AKFMKLHP_00041	CDS	534	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
AKFMKLHP_00042	CDS	426	slyA_1			Transcriptional regulator SlyA
AKFMKLHP_00043	CDS	1338	mepA_1			Multidrug export protein MepA
AKFMKLHP_00044	CDS	195				hypothetical protein
AKFMKLHP_00045	CDS	564				hypothetical protein
AKFMKLHP_00046	CDS	768	lipC_1	3.-.-.-	COG2755	Spore germination lipase LipC
AKFMKLHP_00047	CDS	582	ypmQ		COG1999	SCO1 protein 
AKFMKLHP_00048	CDS	252				hypothetical protein
AKFMKLHP_00049	CDS	1269	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
AKFMKLHP_00050	CDS	996	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
AKFMKLHP_00051	CDS	642				hypothetical protein
AKFMKLHP_00052	CDS	621				hypothetical protein
AKFMKLHP_00053	CDS	507				IS1595 family transposase ISSsu9
AKFMKLHP_00054	CDS	795	thyA2	2.1.1.45	COG0207	Thymidylate synthase 2
AKFMKLHP_00055	CDS	534	ypjQ_1		COG1267	putative protein YpjQ
AKFMKLHP_00056	CDS	612				hypothetical protein
AKFMKLHP_00057	CDS	774	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
AKFMKLHP_00058	CDS	435				hypothetical protein
AKFMKLHP_00059	CDS	1677	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
AKFMKLHP_00060	CDS	1134				hypothetical protein
AKFMKLHP_00061	CDS	618	yedJ		COG1418	putative protein YedJ
AKFMKLHP_00062	CDS	483	gpx1	1.11.1.22		Hydroperoxy fatty acid reductase gpx1
AKFMKLHP_00063	CDS	906	metAA	2.3.1.31		Homoserine O-acetyltransferase
AKFMKLHP_00064	CDS	1149	ugtP_1	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
AKFMKLHP_00065	CDS	201	cspD		COG1278	Cold shock protein CspD
AKFMKLHP_00066	CDS	183	degR			Regulatory protein DegR
AKFMKLHP_00067	CDS	270				hypothetical protein
AKFMKLHP_00068	CDS	171				hypothetical protein
AKFMKLHP_00069	CDS	681				hypothetical protein
AKFMKLHP_00070	CDS	690				queuosine precursor transporter
AKFMKLHP_00071	CDS	399	rnhA		COG0328	14.7 kDa ribonuclease H-like protein
AKFMKLHP_00072	CDS	129	sspL			Small, acid-soluble spore protein L
AKFMKLHP_00073	CDS	891	ypcP	3.1.11.-	COG0258	5'-3' exonuclease
AKFMKLHP_00074	CDS	147				hypothetical protein
AKFMKLHP_00075	CDS	258				hypothetical protein
AKFMKLHP_00076	CDS	3582	der_1			GTPase Der
AKFMKLHP_00077	CDS	507				hypothetical protein
AKFMKLHP_00078	CDS	1098		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
AKFMKLHP_00079	CDS	1317	pucK_1		COG2233	Uric acid permease PucK
AKFMKLHP_00080	CDS	585	xpt	2.4.2.22	COG0503	Xanthine phosphoribosyltransferase
AKFMKLHP_00081	CDS	1506	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
AKFMKLHP_00082	CDS	993	kdgT			2-keto-3-deoxygluconate permease
AKFMKLHP_00083	CDS	591	kdgA		COG0800	KHG/KDPG aldolase
AKFMKLHP_00084	CDS	975	kdgK	2.7.1.45	COG0524	2-dehydro-3-deoxygluconokinase
AKFMKLHP_00085	CDS	1020	kdgR		COG1609	HTH-type transcriptional regulator KdgR
AKFMKLHP_00086	CDS	828	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
AKFMKLHP_00087	CDS	765	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
AKFMKLHP_00088	CDS	1926	dinG_1	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
AKFMKLHP_00089	CDS	192				hypothetical protein
AKFMKLHP_00090	CDS	1158	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
AKFMKLHP_00091	CDS	297	gpsB		COG3599	Cell cycle protein GpsB
AKFMKLHP_00092	CDS	543				hypothetical protein
AKFMKLHP_00093	CDS	1242				hypothetical protein
AKFMKLHP_00094	CDS	2250	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
AKFMKLHP_00095	CDS	507	crr			PTS system glucose-specific EIIA component
AKFMKLHP_00096	CDS	420				hypothetical protein
AKFMKLHP_00097	CDS	378				hypothetical protein
AKFMKLHP_00098	CDS	189				hypothetical protein
AKFMKLHP_00099	CDS	372	yppE			putative protein YppE
AKFMKLHP_00100	CDS	246				hypothetical protein
AKFMKLHP_00101	CDS	105	sspM			Small, acid-soluble spore protein M
AKFMKLHP_00102	CDS	963				hypothetical protein
AKFMKLHP_00103	CDS	621	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
AKFMKLHP_00104	CDS	2745	ponA		COG0744	Penicillin-binding protein 1A/1B
AKFMKLHP_00105	CDS	495	ypoC			putative protein YpoC
AKFMKLHP_00106	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
AKFMKLHP_00107	CDS	699	dnaD		COG3935	DNA replication protein DnaD
AKFMKLHP_00108	CDS	1296	asnS	6.1.1.22		Asparagine--tRNA ligase
AKFMKLHP_00109	CDS	1182		2.6.1.1		Aspartate aminotransferase
AKFMKLHP_00110	CDS	486	ypmB		COG5353	putative protein YpmB
AKFMKLHP_00111	CDS	171				hypothetical protein
AKFMKLHP_00112	CDS	2796	dinG_2	3.1.-.-		3'-5' exonuclease DinG
AKFMKLHP_00113	CDS	384	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
AKFMKLHP_00114	CDS	861	panC	6.3.2.1		Pantothenate synthetase
AKFMKLHP_00115	CDS	834	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
AKFMKLHP_00116	CDS	978	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
AKFMKLHP_00117	CDS	1194	cca	2.7.7.72		CCA-adding enzyme
AKFMKLHP_00118	CDS	1134	bshA	2.4.1.-	COG0438	N-acetyl-alpha-D-glucosaminyl L-malate synthase
AKFMKLHP_00119	CDS	711	bshB1	3.5.1.-	COG2120	N-acetyl-alpha-D-glucosaminyl L-malate deacetylase 1
AKFMKLHP_00120	CDS	414	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
AKFMKLHP_00121	CDS	804	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
AKFMKLHP_00122	CDS	336	ypjD		COG1694	putative protein YpjD
AKFMKLHP_00123	CDS	873				hypothetical protein
AKFMKLHP_00124	CDS	795				hypothetical protein
AKFMKLHP_00125	CDS	594				hypothetical protein
AKFMKLHP_00126	CDS	768	petD			Cytochrome b6-f complex subunit 4
AKFMKLHP_00127	CDS	675	qcrB		COG1290	Menaquinol-cytochrome c reductase cytochrome b subunit
AKFMKLHP_00128	CDS	504	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
AKFMKLHP_00129	CDS	447				hypothetical protein
AKFMKLHP_00130	CDS	540				hypothetical protein
AKFMKLHP_00131	CDS	1272	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
AKFMKLHP_00132	CDS	1287	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
AKFMKLHP_00133	CDS	1116				hypothetical protein
AKFMKLHP_00134	CDS	1083	hisC	2.6.1.9	COG0079	Histidinol-phosphate aminotransferase
AKFMKLHP_00135	CDS	804	trpA	4.2.1.20	COG0159	Tryptophan synthase alpha chain
AKFMKLHP_00136	CDS	1203	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
AKFMKLHP_00137	CDS	648	trpF	5.3.1.24	COG0135	N-(5'-phosphoribosyl)anthranilate isomerase
AKFMKLHP_00138	CDS	750	trpC	4.1.1.48		Indole-3-glycerol phosphate synthase
AKFMKLHP_00139	CDS	1017	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
AKFMKLHP_00140	CDS	1548	trpE	4.1.3.27	COG0147	Anthranilate synthase component 1
AKFMKLHP_00141	CDS	384	aroH	5.4.99.5	COG4401	Chorismate mutase AroH
AKFMKLHP_00142	CDS	1089	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
AKFMKLHP_00143	CDS	1173	aroC	4.2.3.5	COG0082	Chorismate synthase
AKFMKLHP_00144	CDS	771	cheR	2.1.1.80		Chemotaxis protein methyltransferase
AKFMKLHP_00145	CDS	447	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
AKFMKLHP_00146	CDS	1047	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
AKFMKLHP_00147	CDS	702	menG	2.1.1.163	COG2226	Demethylmenaquinone methyltransferase
AKFMKLHP_00148	CDS	765	hepS	2.5.1.30		Heptaprenyl diphosphate synthase component 1
AKFMKLHP_00149	CDS	228	mtrB			Transcription attenuation protein MtrB
AKFMKLHP_00150	CDS	573	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
AKFMKLHP_00151	CDS	279	hupA		COG0776	DNA-binding protein HU 1
AKFMKLHP_00152	CDS	1479	spoIVA	3.6.1.3		Stage IV sporulation protein A
AKFMKLHP_00153	CDS	735				hypothetical protein
AKFMKLHP_00154	CDS	204				hypothetical protein
AKFMKLHP_00155	CDS	1038	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
AKFMKLHP_00156	CDS	1311	der_2		COG1160	GTPase Der
AKFMKLHP_00157	CDS	195				hypothetical protein
AKFMKLHP_00158	CDS	894				hypothetical protein
AKFMKLHP_00159	CDS	600				hypothetical protein
AKFMKLHP_00160	CDS	132				hypothetical protein
AKFMKLHP_00161	CDS	1050	fni	5.3.3.2	COG1304	Isopentenyl-diphosphate delta-isomerase
AKFMKLHP_00162	CDS	1149	ypfD		COG0539	30S ribosomal protein S1 
AKFMKLHP_00163	CDS	675	cmk	2.7.4.25	COG0283	Cytidylate kinase
AKFMKLHP_00164	CDS	177				hypothetical protein
AKFMKLHP_00165	CDS	654	ypfA		COG5581	putative protein YpfA
AKFMKLHP_00166	CDS	1353	ypeB			Sporulation protein YpeB
AKFMKLHP_00167	CDS	918	sleB		COG3409	Spore cortex-lytic enzyme
AKFMKLHP_00168	CDS	657	prsW	3.4.-.-	COG2339	Protease PrsW
AKFMKLHP_00169	CDS	975		1.18.1.2	COG0492	Ferredoxin--NADP reductase
AKFMKLHP_00170	CDS	1284	gudB	1.4.1.2	COG0334	Cryptic catabolic NAD-specific glutamate dehydrogenase GudB
AKFMKLHP_00171	CDS	585	mecB		COG4862	Adapter protein MecA 2
AKFMKLHP_00172	CDS	780	ypbG_1		COG1408	putative protein YpbG
AKFMKLHP_00173	CDS	444				hypothetical protein
AKFMKLHP_00174	CDS	723				hypothetical protein
AKFMKLHP_00175	CDS	603				hypothetical protein
AKFMKLHP_00176	CDS	1491	dbpA_2	3.6.4.13		ATP-dependent RNA helicase DbpA
AKFMKLHP_00177	CDS	1059				hypothetical protein
AKFMKLHP_00178	CDS	249	fer		COG1141	Ferredoxin
AKFMKLHP_00179	CDS	573	fmnP		COG3601	Riboflavin transporter FmnP
AKFMKLHP_00180	CDS	1578	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
AKFMKLHP_00181	CDS	768	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
AKFMKLHP_00182	CDS	1104	rsiX			Anti-sigma-X factor RsiX
AKFMKLHP_00183	CDS	585	sigX		COG1595	ECF RNA polymerase sigma factor SigX
AKFMKLHP_00184	CDS	1770	resE	2.7.13.3		Sensor histidine kinase ResE
AKFMKLHP_00185	CDS	723	srrA_1		COG0745	Transcriptional regulatory protein SrrA
AKFMKLHP_00186	CDS	1176	ccsA_1			Cytochrome c biogenesis protein CcsA
AKFMKLHP_00187	CDS	1629	ccsB			Cytochrome c biogenesis protein CcsB
AKFMKLHP_00188	CDS	540	resA_1			Thiol-disulfide oxidoreductase ResA
AKFMKLHP_00189	CDS	735	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
AKFMKLHP_00190	CDS	537	spmB			Spore maturation protein B
AKFMKLHP_00191	CDS	591	spmA		COG2715	Spore maturation protein A
AKFMKLHP_00192	CDS	1149	dacB	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacB
AKFMKLHP_00193	CDS	540				hypothetical protein
AKFMKLHP_00194	CDS	594	scpB		COG1386	Segregation and condensation protein B
AKFMKLHP_00195	CDS	786	scpA		COG1354	Segregation and condensation protein A
AKFMKLHP_00196	CDS	525				hypothetical protein
AKFMKLHP_00197	CDS	375	ribT	2.3.1.-		Protein RibT
AKFMKLHP_00198	CDS	465	ribH	2.5.1.78	COG0054	6,7-dimethyl-8-ribityllumazine synthase
AKFMKLHP_00199	CDS	1197	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
AKFMKLHP_00200	CDS	648	ribE	2.5.1.9	COG0307	Riboflavin synthase
AKFMKLHP_00201	CDS	1086	ribD		COG0117	Riboflavin biosynthesis protein RibD
AKFMKLHP_00202	CDS	345				hypothetical protein
AKFMKLHP_00203	CDS	555	sipS	3.4.21.89	COG0681	Signal peptidase I S
AKFMKLHP_00204	CDS	207				hypothetical protein
AKFMKLHP_00205	CDS	390				hypothetical protein
AKFMKLHP_00206	CDS	204				hypothetical protein
AKFMKLHP_00207	CDS	213	gerPF_1			putative spore germination protein GerPF
AKFMKLHP_00208	CDS	432	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
AKFMKLHP_00209	CDS	873	ypuA		COG4086	putative protein YpuA
AKFMKLHP_00210	CDS	1326	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
AKFMKLHP_00211	CDS	1482	gerXA			Spore germination protein XA
AKFMKLHP_00212	CDS	612				hypothetical protein
AKFMKLHP_00213	CDS	351				hypothetical protein
AKFMKLHP_00214	CDS	1017	spoVAD			Stage V sporulation protein AD
AKFMKLHP_00215	CDS	453				hypothetical protein
AKFMKLHP_00216	CDS	426				hypothetical protein
AKFMKLHP_00217	CDS	621				hypothetical protein
AKFMKLHP_00218	CDS	768	sigF		COG1191	RNA polymerase sigma-F factor
AKFMKLHP_00219	CDS	441	spoIIAB	2.7.11.1	COG2172	Anti-sigma F factor
AKFMKLHP_00220	CDS	354	spoIIAA		COG1366	Anti-sigma F factor antagonist
AKFMKLHP_00221	CDS	1170	dacF	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacF
AKFMKLHP_00222	CDS	816	punA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 1
AKFMKLHP_00223	CDS	1185	deoB	5.4.2.7	COG1015	Phosphopentomutase
AKFMKLHP_00224	CDS	891	xerD			Tyrosine recombinase XerD
AKFMKLHP_00225	CDS	228				hypothetical protein
AKFMKLHP_00226	CDS	450	fur		COG0735	Ferric uptake regulation protein
AKFMKLHP_00227	CDS	645	spoIIM		COG1300	Stage II sporulation protein M
AKFMKLHP_00228	CDS	216				hypothetical protein
AKFMKLHP_00229	CDS	1320		1.1.1.38		NAD-dependent malic enzyme
AKFMKLHP_00230	CDS	1407	mleN		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
AKFMKLHP_00231	CDS	1428	aspA	4.3.1.1	COG1027	Aspartate ammonia-lyase
AKFMKLHP_00232	CDS	990	ansA	3.5.1.1	COG0252	L-asparaginase 1
AKFMKLHP_00233	CDS	351	xre_1		COG1396	HTH-type transcriptional regulator Xre
AKFMKLHP_00234	CDS	1164				hypothetical protein
AKFMKLHP_00235	CDS	558	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
AKFMKLHP_00236	CDS	123	mciZ			Cell division inhibitor MciZ
AKFMKLHP_00237	CDS	921	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
AKFMKLHP_00238	CDS	348				hypothetical protein
AKFMKLHP_00239	CDS	918	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
AKFMKLHP_00240	CDS	240				hypothetical protein
AKFMKLHP_00241	CDS	324				hypothetical protein
AKFMKLHP_00242	CDS	1032	mshD	2.3.1.189		Mycothiol acetyltransferase
AKFMKLHP_00243	CDS	342	yqjZ		COG2329	putative protein YqjZ
AKFMKLHP_00244	CDS	471	yqjY			putative protein YqjY
AKFMKLHP_00245	CDS	339				hypothetical protein
AKFMKLHP_00246	CDS	1236	dinB_2	2.7.7.7		DNA polymerase IV
AKFMKLHP_00247	CDS	207				hypothetical protein
AKFMKLHP_00248	CDS	1233	mdrP_1			Na(+), Li(+), K(+)/H(+) antiporter
AKFMKLHP_00249	CDS	159				hypothetical protein
AKFMKLHP_00250	CDS	387				hypothetical protein
AKFMKLHP_00251	CDS	960	coaA	2.7.1.33	COG1072	Pantothenate kinase
AKFMKLHP_00252	CDS	1347	dsdA	4.3.1.18	COG3048	D-serine dehydratase
AKFMKLHP_00253	CDS	780		1.-.-.-		putative oxidoreductase
AKFMKLHP_00254	CDS	960	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
AKFMKLHP_00255	CDS	837	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
AKFMKLHP_00256	CDS	1644	rocB_1		COG4187	Protein RocB
AKFMKLHP_00257	CDS	1017	namA	1.6.99.1	COG1902	NADPH dehydrogenase
AKFMKLHP_00258	CDS	762	dhaA	3.8.1.5		Haloalkane dehalogenase
AKFMKLHP_00259	CDS	924	rnz	3.1.26.11	COG1234	Ribonuclease Z
AKFMKLHP_00260	CDS	1470	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
AKFMKLHP_00261	CDS	1410	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
AKFMKLHP_00262	CDS	1245	dinB_3	2.7.7.7	COG0389	DNA polymerase IV
AKFMKLHP_00263	CDS	282	mifM			Membrane protein insertion and folding monitor
AKFMKLHP_00264	CDS	828	misCB		COG0706	Membrane protein insertase MisCB
AKFMKLHP_00265	CDS	729				hypothetical protein
AKFMKLHP_00266	CDS	1116	pepT_1	3.4.11.4	COG2195	Peptidase T
AKFMKLHP_00267	CDS	1530	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
AKFMKLHP_00268	CDS	423	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
AKFMKLHP_00269	CDS	93				hypothetical protein
AKFMKLHP_00270	CDS	531				hypothetical protein
AKFMKLHP_00271	CDS	969				hypothetical protein
AKFMKLHP_00272	CDS	723	artM		COG1126	Arginine transport ATP-binding protein ArtM
AKFMKLHP_00273	CDS	660	artQ		COG0765	Arginine transport system permease protein ArtQ
AKFMKLHP_00274	CDS	768	artP		COG0834	Arginine-binding extracellular protein ArtP
AKFMKLHP_00275	CDS	438				hypothetical protein
AKFMKLHP_00276	CDS	894	bmrU	2.7.1.-	COG1597	Putative lipid kinase BmrU
AKFMKLHP_00277	CDS	1170	tetA_1			Tetracycline resistance protein, class B
AKFMKLHP_00278	CDS	837	bmrR		COG0789	Multidrug-efflux transporter 1 regulator
AKFMKLHP_00279	CDS	1275	pdhC_1	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
AKFMKLHP_00280	CDS	984	bfmBAB	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
AKFMKLHP_00281	CDS	993	bfmBAA	1.2.4.4	COG1071	2-oxoisovalerate dehydrogenase subunit alpha
AKFMKLHP_00282	CDS	1425	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
AKFMKLHP_00283	CDS	1086	buk2	2.7.2.7	COG3426	Butyrate kinase 2
AKFMKLHP_00284	CDS	1095	ldh_1	1.4.1.9	COG0334	Leucine dehydrogenase
AKFMKLHP_00285	CDS	900	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
AKFMKLHP_00286	CDS	2079	norR_2			Anaerobic nitric oxide reductase transcription regulator NorR
AKFMKLHP_00287	CDS	237				hypothetical protein
AKFMKLHP_00288	CDS	906	mmgF	4.1.3.-	COG2513	2-methylisocitrate lyase
AKFMKLHP_00289	CDS	1419	mmgE	4.2.1.-	COG2079	Citrate/2-methylcitrate dehydratase
AKFMKLHP_00290	CDS	1119	mmgD	2.3.3.-	COG0372	Citrate/2-methylcitrate synthase
AKFMKLHP_00291	CDS	1140	mmgC	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
AKFMKLHP_00292	CDS	864	mmgB	1.1.1.157	COG1250	putative 3-hydroxybutyryl-CoA dehydrogenase
AKFMKLHP_00293	CDS	1182	mmgA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
AKFMKLHP_00294	CDS	732	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
AKFMKLHP_00295	CDS	615	lytC_1	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase LytC
AKFMKLHP_00296	CDS	294	lytA_1			Membrane-bound protein LytA
AKFMKLHP_00297	CDS	1149		1.-.-.-		putative oxidoreductase
AKFMKLHP_00298	CDS	114				hypothetical protein
AKFMKLHP_00299	CDS	804	spo0A		COG0784	Stage 0 sporulation protein A
AKFMKLHP_00300	CDS	1281	spoIVB	3.4.21.116	COG0750	SpoIVB peptidase
AKFMKLHP_00301	CDS	1731	recN		COG0497	DNA repair protein RecN
AKFMKLHP_00302	CDS	450	argR		COG1438	Arginine repressor
AKFMKLHP_00303	CDS	846	tlyA		COG1189	Hemolysin A
AKFMKLHP_00304	CDS	1902	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
AKFMKLHP_00305	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
AKFMKLHP_00306	CDS	255	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
AKFMKLHP_00307	CDS	1347	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
AKFMKLHP_00308	CDS	852	folD		COG0190	Bifunctional protein FolD protein
AKFMKLHP_00309	CDS	396	nusB			Transcription antitermination protein NusB
AKFMKLHP_00310	CDS	408				hypothetical protein
AKFMKLHP_00311	CDS	1353	accC	6.3.4.14	COG0439	Biotin carboxylase
AKFMKLHP_00312	CDS	480	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
AKFMKLHP_00313	CDS	657	spoIIIAH			Stage III sporulation protein AH
AKFMKLHP_00314	CDS	690				hypothetical protein
AKFMKLHP_00315	CDS	621	spoIIIAF			Stage III sporulation protein AF
AKFMKLHP_00316	CDS	1200	spoIIIAE			Stage III sporulation protein AE
AKFMKLHP_00317	CDS	402				hypothetical protein
AKFMKLHP_00318	CDS	207				hypothetical protein
AKFMKLHP_00319	CDS	516	spoIIIAB			Stage III sporulation protein AB
AKFMKLHP_00320	CDS	924				hypothetical protein
AKFMKLHP_00321	CDS	282				hypothetical protein
AKFMKLHP_00322	CDS	558	efp			Elongation factor P
AKFMKLHP_00323	CDS	1062	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
AKFMKLHP_00324	CDS	447	yqhS	4.2.1.10	COG0757	3-dehydroquinate dehydratase
AKFMKLHP_00325	CDS	534				hypothetical protein
AKFMKLHP_00326	CDS	957				hypothetical protein
AKFMKLHP_00327	CDS	396				hypothetical protein
AKFMKLHP_00328	CDS	876				hypothetical protein
AKFMKLHP_00329	CDS	429	mntR		COG1321	HTH-type transcriptional regulator MntR
AKFMKLHP_00330	CDS	837	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
AKFMKLHP_00331	CDS	381	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
AKFMKLHP_00332	CDS	684	gcvPB_1	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
AKFMKLHP_00333	CDS	750	gcvPB_2	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 2
AKFMKLHP_00334	CDS	1347	gcvPA	1.4.4.2		putative glycine dehydrogenase (decarboxylating) subunit 1
AKFMKLHP_00335	CDS	1089	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
AKFMKLHP_00336	CDS	1674	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
AKFMKLHP_00337	CDS	795				hypothetical protein
AKFMKLHP_00338	CDS	174	sinI			Protein SinI
AKFMKLHP_00339	CDS	342	sinR		COG1396	HTH-type transcriptional regulator SinR
AKFMKLHP_00340	CDS	786	tasA			Major biofilm matrix component
AKFMKLHP_00341	CDS	573	sipW	3.4.21.89	COG0681	Signal peptidase I W
AKFMKLHP_00342	CDS	762	tapA			TasA anchoring/assembly protein
AKFMKLHP_00343	CDS	378	yqzG			putative protein YqzG
